ts,ax,ay,az,gx,gy,gz,label
84584,-39,975,-348,-22155,-21484,-15686,walking
84604,-36,976,-371,-28808,-17944,-14099,walking
84624,-88,963,-338,-22827,-10437,-12939,walking
84644,-215,964,-233,-10864,-4089,-13183,walking
84664,-365,950,-142,5371,488,-14160,walking
84684,-481,926,-88,16906,5859,-25146,walking
84704,-492,1030,-21,-4150,-5249,-11962,walking
84724,-458,969,-37,-8178,-12695,-3173,walking
84744,-435,948,-51,-4760,-18554,-5004,walking
84764,-400,1029,-40,-4516,-25146,-3295,walking
84784,-343,1039,-61,-6225,31784,9643,walking
84804,-279,1050,-115,2990,28183,14465,walking
84824,-240,1038,-147,6347,29831,13122,walking
84844,-240,983,-144,7629,-26977,11108,walking
84864,-248,941,-132,3234,-16845,2624,walking
84884,-303,853,-82,793,-13183,-1220,walking
84904,-311,854,-68,-11657,-12023,-1220,walking
84924,-300,871,-69,-13244,-12207,-3234,walking
84944,-286,897,-93,-11047,-11413,-4577,walking
84964,-269,935,-115,-9887,-10437,-2380,walking
84984,-252,985,-100,-9399,-7080,0,walking
85004,-244,1033,-72,-4211,-4089,1892,walking
85024,-239,1066,-82,-4577,-1403,5615,walking
85044,-238,1039,-63,610,2197,12939,walking
85064,-234,954,-31,-8728,7141,17395,walking
85084,-253,880,-30,-16052,9765,17150,walking
85104,-278,837,-50,-19165,12695,14221,walking
85124,-283,832,-79,-11840,15991,4821,walking
85144,-282,900,-102,-19226,21728,-4760,walking
85164,-264,985,-115,-15686,21423,-9887,walking
85184,-244,1010,-163,-8666,19348,-7934,walking
85204,-218,1008,-233,-6164,19836,-6103,walking
85224,-171,1051,-231,-8605,24414,-7141,walking
85244,-127,1100,-141,-61,18249,6347,walking
85264,-67,1055,-22,13305,1464,27343,walking
85284,-24,959,-22,27587,-13488,-20493,walking
85304,-9,895,-86,29113,-12451,-22812,walking
85324,21,915,-118,-29953,5065,18127,walking
85344,15,1027,-82,31005,15075,10986,walking
85364,1,1114,-57,24414,23925,4699,walking
85384,-25,1133,-76,18371,32409,1647,walking
85404,-68,1082,-66,4577,-31784,9399,walking
85424,-78,1001,-113,-5798,-27023,4272,walking
85444,-110,945,-77,-14465,-23972,-5920,walking
85464,-131,965,-45,-20385,-26474,-427,walking
85484,-131,964,-48,-17578,25085,-8056,walking
85504,-124,994,-73,-14709,17333,-11657,walking
85524,-117,1024,-67,-7873,12023,-13366,walking
85544,-97,1014,-76,-5249,7263,-7080,walking
85564,-78,974,-88,-1586,2929,2075,walking
85584,-59,936,-96,1464,1464,6225,walking
85604,-40,919,-66,3540,3173,4943,walking
85624,-28,920,-78,6408,1586,-3540,walking
85644,-20,944,-94,8728,1892,-10253,walking
85664,-37,969,-147,9704,549,-15625,walking
85684,-33,1039,-191,-488,5493,-24597,walking
85704,-31,1014,-169,-6347,7629,-21911,walking
85724,-61,940,-154,-9582,4760,-16052,walking
85744,-75,890,-172,-4699,1098,-15075,walking
85764,-94,890,-215,-6958,427,-17089,walking
85784,-96,918,-265,-7690,1647,-22094,walking
85804,-101,969,-286,4882,7202,-31677,walking
85824,-165,1098,-284,12268,10375,29587,walking
85844,-250,1179,-229,15380,13305,30991,walking
85864,-391,1165,-119,11718,11169,-19714,walking
85884,-484,1051,-10,10192,4577,-6713,walking
85904,-528,918,53,12268,-8056,7141,walking
85924,-497,820,53,10009,-18859,12084,walking
85944,-419,830,-2,1403,-32226,10009,walking
85964,-351,875,-93,-2807,22934,14587,walking
85984,-309,925,-159,4333,22141,-61,walking
86004,-279,1083,-155,19104,22873,-3540,walking
86024,-236,1131,-162,21728,27451,1281,walking
86044,-242,1036,-159,25817,-30578,9216,walking
86064,-256,968,-155,20202,-23681,8789,walking
86084,-270,853,-114,8178,-20202,10559,walking
86104,-277,800,-105,-3601,-17272,2685,walking
86124,-279,849,-106,-11413,-15441,-5554,walking
86144,-274,900,-110,-13122,-15441,-8422,walking
86164,-276,924,-129,-14099,-17333,-7934,walking
86184,-253,957,-97,-3784,-13305,-9826,walking
86204,-261,949,-100,2014,-12878,-2990,walking
86224,-275,944,-136,2929,-13122,5676,walking
86244,-285,906,-161,366,-9338,13122,walking
86264,-286,872,-154,1220,-3845,11230,walking
86284,-301,876,-124,-1647,366,5187,walking
86304,-310,944,-94,-3417,-2441,549,walking
86324,-311,1054,-101,7019,-10375,-2868,walking
86344,-299,1170,-127,12695,-16967,-61,walking
